"author_userName","obfuscated_userName","author_location","author_followers","author_following","author_isBlueVerified"
"ItsACsLife","@293929408961562","",298017,798,False
"itsShowtimeNa","@862265980845327","ABS-CBN Corporation",1854887,50,True
"ITSYABOISATANAS","@981143585017165","Dagat dagatang apoy",84249,24,False
"ivanmayrina","@60196334853176","Philippines",131501,844,False
"jaicabajar","@301255784819124","Republic of the Philippines",214983,894,False
"jajeanmyeon","@653348968629130","CARATLAND",54973,2438,True
"jcpunongbayan","@493592062383126","Metro Manila",87063,3733,False
"jeffcanoy","@448905441296611","Republic of the Philippines",353593,1821,False
"JerryGracio","@975452594351818","Valenzuela City",54850,3204,False
"jm_lago","@888315447435258","Manila, PHL",136623,2061,False
"jmdanganemd","@477124322791409","Manila City",89780,1029,False
"JohnnyThorFish","@710380529664789","Republic of the Philippines",54721,8024,False
"Joseph_Morong","@288092325482949","",224407,6814,False
"jpsoriano","@90425491279694","Manila, Philippines",62362,4516,False
"junepineda8","@686600434831547","National Capital Region, Repub",109553,103635,True
"KafosoMo","@138597082847997","Kamuning cor. Ignacia",58342,452,False
"KakanTuring","@658014619910474","",69184,1643,False
"KapamilyaV","@423019828630029","bgyo",51196,7490,False
"kblstgn","@372769658477055","",149717,257,False
"KevinKalbo","@281793685096992","Rizal, Calabarzon",125992,892,False
"kikopangilinan","@886466108474189","Philippines",1226125,1152,True
"KM_Jessica_Soho","@530465812194710","Philippines",1133107,62,True
"KorekKaJohn","@451018693498317","Philippines",544971,855,False
"kowalerts","@393195002743578","Republic of the Philippines",107106,515,True
"KrisAquinoWORLD","@243712156550633","Quezon City",146288,84,False
"kristianlsn","@843651532147221","кηιgнтѕ ",68042,9099,False
"kristof_Garcia1","@226555420991737","Pampanga/ Quezon City",96599,47,False
"kvn_akuseru","@544570462161348","",131611,1386,True
"LakasNgTimog","@431430099582412","Republic of the Philippines",64116,4536,False
"lianbuan","@185383840993067","Manila",55671,1526,False
"lilyganados","@21511923929102","National Capital Region",112434,5640,True
"linyalinya","@182981099720249","Philippines 🇵🇭",121478,1420,False
"LiveSmart","@906217790494918","",1496482,46737,True
"loui3f4undo","@755354780975001","Philippines",81385,2646,False
"LukeEspirituPH","@160566576803209","",88084,81,True
"MacLopez769","@701924561848438","",72610,309,True
"maltiq","@880917615908908","Manila City",57575,3640,True
"manayleila","@375868502461206","",191631,399,True
"manelavice","@6935580698334","",55139,647,True
"manilabulletin","@271091238095480","Manila, Philippines",1197144,199,True
"MannyPacquiao","@949876517460276","Philippines ",2515196,140,True
"maracepeda","@790489017757408","Manila, Philippines",60440,1678,True
"mariaressa","@966035680810647","Philippines",524520,5418,True
"markgeronimo_","@523538363812163","markangelocgeronimo@gmail.com",70896,9081,False
"mayaofficialph","@92125075573352","",72453,22538,False
"McDo_PH","@487108846324628","Philippines",968521,34,True
"mjfelipe","@495940144703352","MNL PH",546615,847,True
"mlq3","@499744014027672","Makati City",223526,3294,False
"MMDA","@766445741838227","Metro Manila",4857601,119,True
"mnlstandardph","@355061952774053","Manila, Philippines",59686,222,False
"MrFrankBaraan","@492771802193429","Republic of the Philippines",113176,79780,True
"n0tesforyou","@336339278578921","",245434,80348,True
"NDRRMC_OpCen","@21633871621785","Camp Aguinaldo, Quezon City",509171,43,False
"neilakunis2","@348849185888139","Lungsod ng Quezon, Pambansang ",154910,1036,False
"News5PH","@589029215591253","Philippines",802232,2242,True
"newsbreakph","@743418336111150","Philippines",103493,157,False
"newswatchplusph","@325002683734926","Philippines",1977756,221,True
"NikkeiAsia","@553341335611922","Tokyo, New York",412583,87,False
"official_RaffyG","@376829183648516","Quezon City, Philippines",71961,35,False
"Official_UPD","@951832276567495","Diliman, Quezon City",93134,77,False
"OneSportsPHL","@913663878775810","Philippines",328731,555,False
"OnlineDanas","@909142447472018","Belgrade, Republic of Serbia",243554,1579,True
"onlydansph","@487089746528580","Makati, Philippines",63663,0,True
"PBBabscbn","@272995495731233","PBB House",1899263,139,True
"PCIJdotOrg","@740925372283118","Philippines",123678,732,False
"PEPalerts","@154902250020656","",1470341,733,True
"PhilippineStar","@325680252986141","Philippines",1788192,866,True
"philredcross","@114567656502678","Philippines",608246,568,False
"PhilstarNews","@394926530180398","Manila, Philippines",1103000,148,True
"PIADesk","@820349757101934","Philippines",51852,437,False
"PinoyAkoBlog","@771634201586836","National Capital Region, Repub",227969,986,True
"pinoyanghang","@953579351695872","",59121,1151,True
"pldt","@140822838158142","Makati City, Philippines",82270,329,True
"PLDTHome","@553392147996554","Philippines",187946,136,False
"pnagovph","@997869412664760","Quezon City",78329,380,False
"pnppio","@427860129840148","Quezon City, Philippines",226365,1461,False
"PrincessFrance","@542273823464203","In places no one will find. ",124737,4034,False
"PSAgovph","@910706495334319","PSA Headquarters",65913,65,True
"PTVph","@701710453575340","Philippines",246538,675,False
"QCGov","@598431271637004","Quezon City, Philippines",113056,39,True
"QCMayorJoy","@225146479556448","Quezon City",55861,1,False
"raffytima","@825480963923244","Manila, Philippines",576378,299,False
"raissawriter","@442416196465886","Philippines",114659,5505,False
"rapplerdotcom","@289929405221207","Philippines",3778816,416,True
"rex_gatchalian","@108413343490611","Valenzuela City",129574,4835,True
"reyuzaki04","@87497269100842","",54733,277,False
"RG_Cruz12479","@619938740788026","Republic of the Philippines",70463,74,False
"RichHeydarian","@552630089176844","Indo-Pacifc",121755,2140,True
"rider10102022","@453194175528825","Republic of the Philippines",153330,23294,False
"risahontiveros","@430551629239151","Quezon City",501602,922,False
"robertmarion","@569968781582217","Philippines",3291210,453,True
"rodmagaru","@863258705082481","Philippines",52315,999,False
"rowena_guanzon","@472069454978195","Metro Manila",311302,224,False
"RTS_Vesti","@990693551711741","Belgrade, Serbia",99713,340,False
"RX931","@832068964410345","MNL, PH",201429,60,False
"SAMPERNANDO","@906689379282131","Alabama, USA",153170,761,False
"sandraguinaldo","@362828114252441","manila, philippines",493121,722,False
"sarahelago","@726261390312282","Republic of the Philippines",70441,2016,False
"SB_Senyora19","@624245059145938","Farm",99262,1090,False
"scorsaguin","@517766243783423","",116297,632,False
"SCPh_PIO","@599606626240481","Manila, Philippines",221426,3,True
"senatePH","@272211934715243","Pasay City, Philippines",187735,95,False
"sesanicheol","@419758435429497","최승철",81638,8159,False
"SevenSeas8951","@609658376521943","Republic of the Philippines",120812,14695,False
"shangshichan","@400719616066658","NYC / DTLA",57379,697,False
"shar_sanpedro","@534344214512120","",1007863,307,True
"ShettySimon","@495650444015507","",73496,379,False
"ShopeePH","@744326704873023","Republic of the Philippines",259467,25,True
"SinisaKovacevi6","@810102263175430","",175201,23,False
"smninews","@972890161400492","Makati City",105180,696,False
"stakupop","@965127034548388","toph. he / him. ‘04",56548,772,True
"starmagicphils","@635422973142700","ABS-CBN",1877850,218,True
"StarMusicPH","@249344188261153","Philippines",426270,606,True
"stgatchalian","@375972237654688","Philippines",70289,2429,True
"straits_times","@69230924760566","Singapore",1300923,134,True
"sunstarcebu","@775998989826013","Cebu, Philippines",344811,367,False
"TeamAFP","@892763079002533","Quezon City",116897,78,True
"TeddyBaguilatJr","@285078461744085","quezon city",139741,2351,False
"teddycasino","@577599718880651","Philippines",53797,384,True
"TFVUnion","@887853919267329","",98054,99,True
"the_hindu","@311498863658577","Chennai, India",8347597,200,True
"theklmanuel","@434834810779540","Ortigas",74274,1313,False
"TheLaSallian","@187950612861971","Manila, Philippines",215619,49,False
"TheManilaTimes","@97335055837904","Philippines",137996,482,True
"TheodoreBoborol","@671111720150493","Quezon City, Philippines",66070,0,False
"theskinsensei","@330470510121344","Manila, Philippines",129400,3244,False
"tinapperez","@220155150399216","Philippines",104369,367,False
"totoooh___","@579085927440047","Cornelia street",121320,401,False
"trtworld","@946497051061576","",626419,28,False
"TV5manila","@914819654887371","Philippines",498800,1099,False
"TVPatrol","@510149406765704","Philippines",2576776,264,True
"unoemilio","@593401886218948","",548472,709,False
"UNTVNewsRescue","@866960571195954","Quezon City, Philippines",99563,508,False
"upsystem","@848713523819896","Quezon City",215303,328,False
"USAmbPH","@783346144603517","Manila, Philippines",57786,640,True
"valenzuelacity","@281124621651367","Valenzuela City, Philippines",140625,685,True
"varsitarianust","@581989485640520","",101069,71,True
"vicotinamide","@230038042552127","mercury",80867,1519,False
"WhenInManila","@449819363341493","Manila, Philippines - Asia",70027,178,False
"willardcheng","@416755578157237","",107532,19,False
"WinGatchalian74","@758580440973699","Republic of the Philippines",79888,431,True
"XHNews","@93322195155854","Headquartered in Beijing, PRC",11808336,80,True
"xueishaoo","@582337149951708","⚠️ rt of own tweets 🔕",112106,986,True
