pseudo_id,text,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,createdAt,lang,isReply,pseudo_conversationId,pseudo_inReplyToUsername,pseudo_author_userName,author_isBlueVerified,sentiment
927743505141375,Harinawa magising tayo at bumoto ng mga public servant ngayong taon at sa mga darating na halalan.,0,0,0,0,2,0,2024-12-31 23:57:51+00:00,tl,False,927743505141375,,373082195537334,False,0
924376067169417,@325680252986141 COMELEC dapat buwagin na yan tapos reapsuhin na batas ng mga tatakbo sa halalan..mga 8080 factor na utak nila..,0,0,0,0,6,0,2024-12-31 23:03:41+00:00,tl,True,539462871970892,325680252986141,988842631379386,False,1
987031997245968,"@587581332665422 Nung inendorso ka nung halalan  at tumapak ka sa stage natakot ako.
Natakot ako sa mangyayari Kasi nandun ka nandun mga Kaibigan ko.

Ayoko may  mangyaring masama.

Nag aalala Ako sa iyo. Kasi pag may nangyari sa iyo baka Hindi ko mapatawad Sarili ko.",0,1,0,0,6,0,2024-12-31 17:48:13+00:00,tl,True,570832457161005,98067237183784,98067237183784,False,1
752423838415219,"Oh para safe pwede ba bumoto ka naman ng hindi mo kilalang pangalan sa 2025?

Im sure mas maayos yan kaysa mga Trapong kandidato! 

#BagoNaman",0,0,5,0,152,0,2024-12-31 16:35:24+00:00,tl,False,752423838415219,,545058297947458,False,1
931388110203498,"Kasabay ng pagpasok ng bagong taon ay ang siya ring pagpasok sa pamahalaan ng mga bagong lingkod-bayan. Kaya naman, huwag din sana nating kalimutang maging mapanuri sa pagpili ng mga lider na tunay na aakay at magtataguyod sa interes ng bayan sa darating na halalan. [4/6]",0,1,0,0,10,0,2024-12-31 16:04:40+00:00,tl,True,597561710850957,412318777217671,412318777217671,False,0
541304847932619,"Ako na magvolunteer gumawa ng New Year’s Resolution niyo.

Ang New Year’s Resolution niyo sana ay matuto na kayong bumoto nang maayos sa eleksyon.",0,0,1,0,165,0,2024-12-31 12:01:06+00:00,tl,False,541304847932619,,347270752268465,False,0
557402862893358,@5243202404183 @412208856908966 yaan mo sha nak wag mo yan iboto sa susunod na halalan,0,0,0,0,57,0,2024-12-31 11:49:40+00:00,tl,True,529125919785762,5243202404183,238327419253733,False,1
399696330046877,"ISANG MAKAKALIKASANG BAGONG TAON SA LAHAT! 

Sa pagpasok ng 2025 hangad ko na sama-sama nating maipanalo ang kalikasan sa darating na halalan. Panahon na upang maging luntian ang Pilipinas, mabigyang halaga ang mga magsasaka at mangingisda, mabigyang hustisya ang mga katutubo, mapatatag ang mass transportation, mapalawak ang remewable energy, maisakatuparan ang hustisyang pangklima, mabigyang dangal ang mga manggagawa, at maibalik sa taumbayan ang makatarungang pamamahala. 

Mga kaBOSES, ito na ang panahon. Gawin nating marangal at makabuluhan ang 2025. Kaya natin kung magkakaisa. 

Masagang Bagong Taon sa lahat! 

#DavidDAngelo
#BosesNgKalikasan
#20 Senatorial Candidate 2025 Elections
Bunyog - Pagkakaisa Party List #87
#KalikasanMuna",4,0,9,0,172,0,2024-12-31 11:04:27+00:00,tl,False,399696330046877,,745153439695926,True,0
157949784020940,@218715044120072 @286489258438073 @635422973142700 @341019934908501 Advise ko na lang sa mga blooms kunin niyo yung ticket para maisoldout yung ph arena at the same time wag iboto sa eleksyon. Pero dapat sitahin ng management and comelec yan.,0,0,3,0,256,0,2024-12-31 07:41:51+00:00,tl,True,267597977046237,218715044120072,581298241542268,False,1
332313144141982,@36502604678147 Wag iboto ang mga hinayupak na tulfos puro kayabangan lang iyan  kurakot lang gagawin nila parang artista bulok wag iboto I,2,0,12,0,167,1,2024-12-31 04:08:30+00:00,tl,True,562397063391556,36502604678147,482495937888395,False,1
